,gender,emotion,actor,path
0,male,neutral,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-01-01-01-01-01.wav
1,male,neutral,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-01-01-01-02-01.wav
2,male,neutral,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-01-01-02-01-01.wav
3,male,neutral,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-01-01-02-02-01.wav
4,male,calm,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-02-01-01-01-01.wav
5,male,calm,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-02-01-01-02-01.wav
6,male,calm,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-02-01-02-01-01.wav
7,male,calm,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-02-01-02-02-01.wav
8,male,calm,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-02-02-01-01-01.wav
9,male,calm,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-02-02-01-02-01.wav
10,male,calm,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-02-02-02-01-01.wav
11,male,calm,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-02-02-02-02-01.wav
12,male,happy,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-03-01-01-01-01.wav
13,male,happy,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-03-01-01-02-01.wav
14,male,happy,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-03-01-02-01-01.wav
15,male,happy,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-03-01-02-02-01.wav
16,male,happy,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-03-02-01-01-01.wav
17,male,happy,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-03-02-01-02-01.wav
18,male,happy,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-03-02-02-01-01.wav
19,male,happy,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-03-02-02-02-01.wav
20,male,sad,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-04-01-01-01-01.wav
21,male,sad,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-04-01-01-02-01.wav
22,male,sad,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-04-01-02-01-01.wav
23,male,sad,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-04-01-02-02-01.wav
24,male,sad,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-04-02-01-01-01.wav
25,male,sad,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-04-02-01-02-01.wav
26,male,sad,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-04-02-02-01-01.wav
27,male,sad,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-04-02-02-02-01.wav
28,male,angry,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-05-01-01-01-01.wav
29,male,angry,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-05-01-01-02-01.wav
30,male,angry,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-05-01-02-01-01.wav
31,male,angry,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-05-01-02-02-01.wav
32,male,angry,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-05-02-01-01-01.wav
33,male,angry,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-05-02-01-02-01.wav
34,male,angry,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-05-02-02-01-01.wav
35,male,angry,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-05-02-02-02-01.wav
36,male,fear,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-06-01-01-01-01.wav
37,male,fear,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-06-01-01-02-01.wav
38,male,fear,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-06-01-02-01-01.wav
39,male,fear,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-06-01-02-02-01.wav
40,male,fear,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-06-02-01-01-01.wav
41,male,fear,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-06-02-01-02-01.wav
42,male,fear,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-06-02-02-01-01.wav
43,male,fear,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-06-02-02-02-01.wav
44,male,disgust,1,datasets/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-07-01-01-01-01.wav
